"Ceremony","Award_Name"
"Hollywood International Independent Documentary Awards","Award of Excellence - May"
"Asia-Pacific Film Festival","Special Award"
"Normal Indy Horror Film Festival","Special Recognition Award"
"Sitges - Catalonian International Film Festival","Grand Prize of European Fantasy Short Film in Gold"
"Imago - International Young Film and Video Festival","Audience Award"
"Münster Film Festival","Best Short Film"
"Asian Film Awards","Nielsen Box Office Star of Asia Award"
"Studio Hamburg Newcomer Award","Special Award of the Jury"
"Brussels European Film Festival","White Iris"
"Venice Film Festival","Fedeora Award - Special Mention"
"Amsterdam International Documentary Film Festival","FIPRESCI Prize - Special Mention"
"Arpa International Film Festival","Silver Lens Award"
"Berlin Interfilm Festival","Best Documentary"
"Cabbagetown Short Film & Video Festival","Best Documentary"
"HollyShorts Film Festival","Best Documentary"
"Little Rock Film Festival","Extraordinary Courage in Filmmaking"
"NociCortinfestival","Best Short Film Award"
"Route 66 Film Festival","People's Choice Award"
"Route 66 Film Festival","Best Military Film Award"
"Short. Sweet. Film Fest, US","Best Nonfiction Film"
"Oberhausen International Short Film Festival","Werkleitz Award"
"Doclisboa International Film Festival","City of Lisbon Award - Special Mention"
"Annecy International Animated Film Festival","Award for Its Humanitarian Theme and Graphical Research"
"Ocean City Film Festival","Best Short Film"
"Sacramento Horror Film Festival","Best Feature"
"Fantasia Film Festival","New Flesh Award for Best First Feature"
"FEST International Film Festival","Jury Prize- Frontiers Selection"
"Venice Film Festival","Cinema of the Present - Lion of the Year"
"Levante International Film Festival","Investigation"
"Slamdance Film Festival","Moviemaker Breakthrough Award"
"St. Louis Filmmakers Showcase, US","Showcase Juried Award"
"Best Shorts Competition","Award of Excellence Special Mention"
"Boston Science Fiction Film Festival, US","Geekiest Film"
"Dragon*Con Independent Film Festival","Best Fan Film"
"Gwinnett Center International Film Festival","Best Short Film"
"Asians On Film Festival","Best Animation"
"Asians On Film Festival","Summer Award"
"Asians On Film Festival","Best Original Score"
"Asians On Film Festival","Winter Award"
"Culver City Film Festival","Most Inspirational Short Film"
"HollyShorts Film Festival","Audience Award"
"Long Beach Indie, California","Jury Prize"
"ScreenCraft","Jury Prize"
"Seattle International Film Festival","Atom Films Short Film Award - Honorable Mention"
"Munich International Festival of Film Schools","Arte Short Film Award"
"Savannah Film Festival","Best Supernatural Short"
"Toronto International Film Festival","RBC Emerging Filmmaker Award - Honorable Mention"
"YoungCuts Film Festival","Festival Prize"
"Jerusalem Film Festival","In Pursuit of Peace & Tolerance for Mediterranean Cinema Award"
"Screentest: The National Student Film Festival","Grand Jury"
"Neuchâtel International Fantastic Film Festival","Youth Jury Award"
"Edinburgh International Film Festival","EDA Award"
"Highway 61 Film Festival, Minnesota","First Place"
"Cottbus Film Festival of Young East European Cinema","Discovery Award"
"Reel Independent Film Extravaganza","Festival Prize"
"Serile Filmului Gay International Film Festival, Romania","Festival Award"
"Morbido Fest","Mención Especial - Special Mention"
"Amsterdam Film Festival","World Cinema Directing Award"
"Peace On Earth Film Festival","Jury Prize"
"Peace On Earth Film Festival","Festival Award"
"Shorts Film Festival, AU","Green Shorts Merit Award"
"Spirit of Fire","Silver Taiga"
"Shortcutz Amsterdam","The Mr Zee Cam-a-lot Filmmore Award"
"Toronto International Film and Video Awards","TIFVA Award"
"Sports Emmy Awards","Lifetime Achievement Award"
"Art Film Festival","LITA Award for Best Slovakian Movie"
"Art Film Festival","Kodak Award for Best Slovakian Movie"
"Fantaspoa International Fantastic Film Festival","Audience Award"
"Glasgow Short Film Festival","Euroshort Nomination Award"
"Fresno Film Festival","Juried Award"
"Málaga Spanish Film Festival","Best New Director"
"FANTA ELX: Elche Fantastic Film Festival","Special Mention"
"FANTA ELX: Elche Fantastic Film Festival","Bronze Award"
"ToHorror Film Festival, Italy","Audience Award"
"Gérardmer Film Festival","Short Film Grand Prize"
"Nosotros American Latino Film Festival","Best Feature"
"National Board of Review, USA","Student Grant"
"Berlin International Film Festival","Best European Short Film"
"Eugene International Film Festival","Best International Subject Documentary"
"Motion Picture Sound Editors, USA","Verna Fields Award"
"Heart of Gold International Short Film Festival","Festival Prize"
"National Film Festival for Talented Youth (NFFTY)","NFFTY"
"Fantoche - International Animation Film Festival","Encouragement Award"
"Mediawave, Hungary","Animation Category Prize"
"American Online Film Awards","American Online Film Award"
"Asians On Film Festival","Orbis Global Entertainment Development Deal"
"DisOrient Asian American Film Festival","Best Short"
"Downtown Film Festival Los Angeles","Audience Award"
"Los Angeles International Underground Film Festival","Audience Award"
"Los Angeles International Underground Film Festival","LAIUFF Award"
"Skip City International D-Cinema Festival","Honorable Mention"
"Beloit International Film Festival","Best Feature Film"
"Tokyo FILMeX","Next Masters Tokyo Best Project - Special Mention"
"Doclisboa International Film Festival","RTP Award - Special Mention"
"Guanajuato International Film Festival","Honorary Mention"
"Premios Canacine, MX","Premio Canacine"
"Bratislava Francophone Film Festival",""
"Brest European Short Film Festival","Revelation Prize"
"Columbia University Film Festival","Best Female Director"
"Columbia University Film Festival","Most Promising Filmmaker"
"Lille Short Film Festival","Best Digital Short"
"Palm Springs International ShortFest","Best Emerging Student Filmmaker - Special Mention"
"Washington DC Shorts Film Festival","Best HD Film"
"One World International Human Rights Documentary Film Festival","Special Mention"
"Singapore International Film Festival","Cinema Legend Award"
"Antenna Documentary Festival","Audience Choice Award"
"Hannover Up and Coming Film Festival","Special Prize """"""""Education"""""""""
"FIFO Festival International du Film Documentaire OcÃ©anien","Jury Prize"
"Beverly Hills Film Festival","Golden Palm Screenplay Competition"
"Teen Choice Awards","Ultimate Choice Award"
"TV Land Awards","Legacy of Laughter Award"
"Days of Croatian Film","Grand Prix"
"Alcalá de Henares Short Film Festival","Código Babilonia Award (Best Director)"
"Valdivia International Film Festival","Movie City Award for Best Chilean Movie"
"Valdivia International Film Festival","Best Chilean Film"
"Budapest International Documentary Festival","Granny jury award"
"Jihlava International Documentary Film Festival","Doc Alliance Award"
"Millennium Docs Against Gravity","Zwierciadlo Award"
"HollyShorts Film Festival","Best Editing"
"Dresden Film Festival","Minister of Fine Arts Promotion Prize"
"Slovene Film Festival","Kodak Award"
"Dresden Film Festival","Universal Music Promotion Award"
"Gwangju International Film Festival","Excellent Asia-Pacific Young Director Award"
"Newport Beach Film Festival","Audience Award - Honorable Mention"
"Stony Brook Film Festival","Juried Gold Award for Best Picture"
"Oaxaca FilmFest, MX","Honorable Mention"
"Kerala State Film Awards","Special Jury Award"
"Lume International Film Festival","Youth Jury Award - Special Mention"
"Thessaloniki Film Festival","Special Youth Jury Award"
"Big Muddy Film Festival","John Michaels Memorial Film Award"
"Cleveland International Film Festival","Standing Up Film Competition"
"Filmfest Ludwigsburg","Best Young German Short Film"
"Giffoni Film Festival","Rotary Club Award"
"Feratum Film Festival","Best International Feature"
"Annecy International Animated Film Festival","CANAL+ Creative Aid Award"
"Burbank International Film Festival","Best Editing"
"Blackbird Film Festival","Jury Award"
"Encounters International Film Festival","Orange DepicT Audience Award"
"First Film, US","Avid Award"
"Action on Film International Film Festival, USA","Women of Film"
"Los Angeles New Wave International Film Festival, US","Short Film Award"
"PollyGrind Underground Film Festival of Las Vegas","Best Crime Short"
"Diagonale, Austria","Diagonale Innovative Cinema Award - Honorable Mention"
"Norwich Film Festival, UK","Best Short Film"
"Plymouth Film Festival, UK","Audience Award"
"Plymouth Film Festival, UK","Jury Award"
"Dragon*Con Independent Film Festival","Honorable Mention"
"Montréal World Film Festival","Norman McLaren Award"
"Vancouver International Film Festival","BC Emerging Filmmaker Award"
"Vancouver Short Film Festival","VSFF Award"
"Victoria Film Festival, Canada","Best Canadian Feature"
"Palm Springs International ShortFest","Best Student Cinematography"
"Tel-Aviv International Student Film Festival","Best Cinematography"
"Edmonton International Film Festival","Jury Award"
"ShockerFest","Best Screenplay"
"Boston International Film Festival","Best Narrative Short"
"HollyShorts Film Festival","Best Narrative"
"Malta Short Film Festival","Malta Short Film Festival Award"
"Palm Springs International ShortFest","Golden Palm Award for Best Overall Short Film"
"Leeds International Film Festival","Prix Louis Le Prince"
"Tacoma Film Festival","Best Animated Film"
"Tropfest","3rd Prize"
"New Haven Film Fest","Kodak Cinematography Award"
"Melbourne International Film Festival","Emerging Australian Filmmaker Award"
"Royal Television Society, UK","RTS Yorkshire Television Award"
"Savannah Film Festival","Vanguard Award"
"Hamilton Film Festival, CA","Audience Choice"
"Reykjavik International Film Festival","RIFF Golden Egg Award"
"CAAMFest","Student Film Award"
"Columbia University Film Festival","National Board of Review Motion Pictures Award"
"Stockholm Film Festival","Best Director"
"Flickerfest International Short Film Festival","Audience Award"
"Silver Wave Film Festival","Viewers Choice Award"
"Silver Wave Film Festival","Silver Wave Award"
"Silver Wave Film Festival","CBC 3-2-1 Award"
"ImagineNative Film + Media Arts Festival","Drama Pitch Prize"
"Vancouver International Film Festival","Best Canadian First Feature"
"American Movie Awards","Film Directing"
"Cannes Screenplay Contest","Winner"
"Filmmatic Filmmaker Awards","Filmmatic Filmmaker Awards"
"Final Draft Big Break Competition","Top 3 - Features"
"Hollywood Screenplay Contest","Hollywood Screenplay Contest Award"
"Nevada International Film Festival, US","Special Jury Award"
"North American Film Awards","Special Jury Award"
"NYC Indie Film Awards","Bronze Award"
"Palm Beach International Film Festival","Festival Competition"
"Big Muddy Film Festival","Best Narrative Short"
"Indiana Film and Video Festival","Indy Award"
"Method Fest","Best Student Film"
"Durban International Film Festival","Best South African Feature Film"
"Phoenix Film Festival","Phoenix Film Foundation Arizona Filmmaker of the Year"
"Studio City Film Festival, US","Best Horror, Feature"
"Catalonian Actors and Directors Association","AADC Award"
"Festival de Cinema da Fronteira","Best Film"
"Olhar de Cinema - Curitiba International Film Festival","Olhares Brasil Award"
"Nantes Three Continents Festival","Best Actress"
"Torino Film Festival","Filmcritica Bastone Bianco Award - Special Mention"
"Gotham Screen International Film Festival Awards","Audience Choice Award"
"International Film Festival Manhattan","Best Feature Film"
"Encounters International Film Festival","Kodak/NAHEMI Cinematography"
"168 Film Festival, US","Best Comedy"
"168 Film Festival, US","Best Comedy Screenplay"
"Burbank International Film Festival","Best Comedy Short Film"
"The 48 Hour Film Project, Dallas, Texas, US","Audience Award Group B"
"Olhar de Cinema - Curitiba International Film Festival","Olhar Award - Best Short Film"
